Package                     Version  Latest   Type
--------------------------- -------- -------- -----
accelerate                  0.19.0   0.21.0   wheel
aider-chat                  0.7.2    0.9.0    wheel
altair                      4.2.2    5.0.1    wheel
anyio                       3.6.2    3.7.1    wheel
argilla                     1.8.0    1.12.1   wheel
azure-ai-formrecognizer     3.2.0    3.2.1    wheel
azure-core                  1.27.1   1.28.0   wheel
bitsandbytes                0.39.0   0.40.2   wheel
black                       23.3.0   23.7.0   wheel
cachetools                  5.3.0    5.3.1    wheel
charset-normalizer          3.1.0    3.2.0    wheel
chromadb                    0.3.22   0.3.29   wheel
click                       8.1.3    8.1.5    wheel
clickhouse-connect          0.5.24   0.6.6    wheel
contourpy                   1.0.7    1.1.0    wheel
cryptography                41.0.0   41.0.2   wheel
dataclasses-json            0.5.7    0.5.9    wheel
dbdemos                     0.3.16   0.3.20   wheel
dbsqlclone                  0.1.21   0.1.24   wheel
distlib                     0.3.6    0.3.7    wheel
duckdb                      0.7.1    0.8.1    wheel
extract-msg                 0.41.1   0.41.5   wheel
Faker                       18.10.1  19.1.0   wheel
fastapi                     0.95.2   0.100.0  wheel
filelock                    3.12.0   3.12.2   wheel
fonttools                   4.39.4   4.41.0   wheel
frozenlist                  1.3.3    1.4.0    wheel
fsspec                      2023.5.0 2023.6.0 wheel
GitPython                   3.1.31   3.1.32   wheel
gpt4all                     0.2.3    1.0.5    wheel
httpcore                    0.16.3   0.17.3   wheel
httptools                   0.5.0    0.6.0    wheel
httpx                       0.23.3   0.24.1   wheel
huggingface-hub             0.14.1   0.16.4   wheel
importlib-metadata          6.6.0    6.8.0    wheel
ipykernel                   6.23.2   6.24.0   wheel
ipywidgets                  8.0.6    8.0.7    wheel
joblib                      1.1.1    1.3.1    wheel
jsonpointer                 2.3      2.4      wheel
jsonschema                  4.17.3   4.18.3   wheel
jupyter_client              8.2.0    8.3.0    wheel
jupyter_server              2.6.0    2.7.0    wheel
jupyterlab-widgets          3.0.7    3.0.8    wheel
langchain                   0.0.144  0.0.235  wheel
langchainplus-sdk           0.0.10   0.0.20   wheel
langsmith                   0.0.7    0.0.8    wheel
llama-cpp-python            0.1.48   0.1.72   sdist
lxml                        4.9.2    4.9.3    wheel
markdown-it-py              2.2.0    3.0.0    wheel
MarkupSafe                  2.1.2    2.1.3    wheel
matplotlib                  3.7.1    3.7.2    wheel
mistune                     2.0.5    3.0.1    wheel
msoffcrypto-tool            5.0.1    5.1.0    wheel
mysqlclient                 2.1.1    2.2.0    wheel
nbconvert                   7.5.0    7.7.1    wheel
nbformat                    5.9.0    5.9.1    wheel
numpy                       1.24.3   1.25.1   wheel
openai                      0.27.0   0.27.8   wheel
pandas                      1.5.3    2.0.3    wheel
Pillow                      9.5.0    10.0.0   wheel
pip                         23.1.2   23.2     wheel
platformdirs                3.5.3    3.9.1    wheel
prometheus-client           0.17.0   0.17.1   wheel
prompt-toolkit              3.0.38   3.0.39   wheel
protobuf                    3.20.0   4.23.4   wheel
pyarrow                     12.0.0   12.0.1   wheel
pydantic                    1.10.7   2.0.3    wheel
pymdown-extensions          10.0.1   10.1     wheel
PyMySQL                     1.0.3    1.1.0    wheel
pyparsing                   2.4.7    3.1.0    wheel
pytest                      7.3.1    7.4.0    wheel
pywinpty                    2.0.10   2.0.11   wheel
red-black-tree-mod          1.20     1.21     sdist
redis                       4.5.5    4.6.0    wheel
regex                       2023.5.5 2023.6.3 wheel
requests                    2.30.0   2.31.0   wheel
rfc3986                     1.5.0    2.0.0    wheel
rich                        13.3.5   13.4.2   wheel
ruff                        0.0.272  0.0.278  wheel
scipy                       1.10.1   1.11.1   wheel
semver                      3.0.0    3.0.1    wheel
setuptools                  65.5.0   68.0.0   wheel
SQLAlchemy                  1.4.48   2.0.19   wheel
starlette                   0.27.0   0.30.0   wheel
streamlit                   1.24.0   1.24.1   wheel
streamlit-card              0.0.5    0.0.61   wheel
streamlit-image-coordinates 0.1.3    0.1.5    wheel
threadpoolctl               3.1.0    3.2.0    wheel
transformers                4.29.1   4.30.2   wheel
typing_extensions           4.5.0    4.7.1    wheel
typing-inspect              0.8.0    0.9.0    wheel
tzlocal                     4.2      5.0.1    wheel
unstructured                0.6.6    0.8.1    wheel
uri-template                1.2.0    1.3.0    wheel
urllib3                     2.0.2    2.0.3    wheel
uvicorn                     0.22.0   0.23.0   wheel
virtualenv                  20.23.0  20.24.0  wheel
visions                     0.7.4    0.7.5    wheel
websocket-client            1.5.3    1.6.1    wheel
widgetsnbextension          4.0.7    4.0.8    wheel
wrapt                       1.14.1   1.15.0   wheel
zipp                        3.15.0   3.16.2   wheel
